scope,eof,version,term,loading
incipient,1,before,Az,0.22976797
incipient,1,after,Az,0.229531
incipient,1,before,Ae,0.52327281
incipient,1,after,Ae,0.399172
incipient,1,before,Kz,0.25486759
incipient,1,after,Kz,0.19943434
incipient,1,before,Ke,0.63643112
incipient,1,after,Ke,0.56071635
incipient,1,before,Cz,0.077012076
incipient,1,after,Cz,0.090243166
incipient,1,before,Ca,0.85092676
incipient,1,after,Ca,0.81592559
incipient,1,before,Ck,-0.41760213
incipient,1,after,Ck,-0.15923892
incipient,1,before,Ce,0.73134951
incipient,1,after,Ce,0.66673956
incipient,1,before,BAz,0.51131308
incipient,1,after,BAz,0.49219223
incipient,1,before,BAe,-0.17429436
incipient,1,after,BAe,-0.2544153
incipient,1,before,BKz,-0.58240417
incipient,1,after,BKz,-0.67662541
incipient,1,before,BKe,0.2890819
incipient,1,after,BKe,0.39171883
incipient,1,before,BΦZ,0.43836682
incipient,1,after,BΦZ,0.65922162
incipient,1,before,BΦE,0.28895173
incipient,1,after,BΦE,-0.66205833
incipient,1,before,Gz,-0.10594816
incipient,1,after,Gz,-0.078031455
incipient,1,before,Ge,0.24062567
incipient,1,after,Ge,0.26863172
incipient,1,before,∂Az/∂t (finite diff.),-0.23615181
incipient,1,after,∂Az/∂t (finite diff.),-0.14331128
incipient,1,before,∂Ae/∂t (finite diff.),0.10461108
incipient,1,after,∂Ae/∂t (finite diff.),0.0971478
incipient,1,before,∂Kz/∂t (finite diff.),0.14604521
incipient,1,after,∂Kz/∂t (finite diff.),0.24991756
incipient,1,before,∂Ke/∂t (finite diff.),0.32534919
incipient,1,after,∂Ke/∂t (finite diff.),0.29719163
incipient,1,before,RGz,-0.43878283
incipient,1,after,RGz,-0.13257599
incipient,1,before,RKz,0.59249808
incipient,1,after,RKz,0.68160911
incipient,1,before,RGe,0.59086259
incipient,1,after,RGe,0.32283186
incipient,1,before,RKe,-0.77940927
incipient,1,after,RKe,-0.76981794
incipient,2,before,Az,-0.13459836
incipient,2,after,Az,0.066009331
incipient,2,before,Ae,0.55925137
incipient,2,after,Ae,0.40230904
incipient,2,before,Kz,0.258833
incipient,2,after,Kz,0.338475
incipient,2,before,Ke,0.12061414
incipient,2,after,Ke,0.073113841
incipient,2,before,Cz,-0.44690263
incipient,2,after,Cz,-0.28004739
incipient,2,before,Ca,-0.12158846
incipient,2,after,Ca,-0.07822356
