track_id,PC1,PC2,PC3,PC4,sign,dominant_eof
19790166,1.6857673,0.098898905,1.6522436,-2.8892499,positive,1
19790178,0.13269537,-0.033951541,1.6069679,0.096459669,positive,3
19790194,-0.16386175,0.95870539,1.4102023,0.42412485,positive,3
19790300,-0.3891898,-0.2116079,1.3270223,0.58729302,positive,3
19790369,0.036185168,1.375482,1.0841577,0.97417816,positive,2
19790535,1.9819515,1.0907089,-0.94066851,0.24052102,positive,1
19790585,2.8513001,0.85699269,-0.6114011,-0.08066975,positive,1
19790644,2.7370737,0.098927463,0.37040096,-1.5957277,positive,1
19790669,0.12119191,0.75485985,-2.569376,1.4152705,positive,4
19790802,0.20766221,1.1573797,-2.41251,0.038372772,positive,2
19790820,1.1641538,-1.8545455,1.1172301,1.3761737,positive,4
19790946,0.71192116,-0.20485381,0.68816306,1.3537295,positive,4
19790958,-0.8565504,-0.38250549,1.4453443,-0.36389645,positive,3
19790985,0.019448204,1.7789957,0.3244996,-0.13397187,positive,2
19791008,2.0873023,-1.1155733,0.6600396,-0.38544669,positive,1
19791011,-0.2980745,-0.14506717,1.2588959,0.64848462,positive,3
19791146,-0.50268663,0.15457202,1.2432212,0.72904087,positive,3
19791150,1.5085368,-0.73748814,1.0769701,-0.53210245,positive,1
19800021,0.39399369,0.49895662,1.8440439,0.89306547,positive,3
19800033,-0.81540748,1.428206,-0.18888359,0.090060378,positive,2
19800068,0.57310938,0.53673173,1.5611688,1.4251969,positive,3
19800114,1.7804955,-0.72863729,1.0460534,2.602083,positive,4
19800134,0.41293106,1.565144,0.92127508,-0.90630554,positive,2
19800155,-0.50491144,0.54690196,1.1812411,0.71012485,positive,3
19800170,-0.040239898,1.7966317,-0.58117088,0.37752639,positive,2
19800192,-0.047970011,1.2555654,-0.44734605,-0.661668,positive,2
19800204,0.042789659,1.3683311,1.5492767,1.377295,positive,3
19800237,0.13803587,0.22702018,-1.1736829,1.1793397,positive,4
19800256,2.3348905,-1.2646159,0.95325889,0.71123223,positive,1
19800291,1.4367394,2.1943936,0.51658013,1.9682483,positive,2
19800300,-0.026684329,1.7970084,-0.43574019,1.9856141,positive,4
19800318,1.9369205,-0.52024006,0.76988561,-0.54352496,positive,1
19800401,-0.55470774,-1.7889915,0.084666727,2.7437707,positive,4
19800411,1.9190075,-0.5641148,-0.87869111,-0.48120573,positive,1
19800455,1.5398577,1.0150244,0.29758395,-1.6348357,positive,1
19800464,2.086955,1.2140118,0.67614624,-0.1271353,positive,1
19800580,1.0309515,0.36939058,1.3585832,-1.8521728,positive,3
19800590,0.44074268,1.5223331,0.89092515,-1.6846897,positive,2
19800621,4.2417291,0.57542191,-2.1568973,2.9212955,positive,1
19800657,0.6824229,-0.80760577,-0.63042537,1.9870416,positive,4
19800683,-0.99142995,1.2741146,0.46943983,-0.41516953,positive,2
19800695,1.1607679,-1.5025044,1.5522767,0.58188621,positive,3
19800725,2.0927708,-0.17617259,-0.50379228,-1.3594532,positive,1
19800870,1.0701607,-1.1074901,-1.5461901,2.1734638,positive,4
19800936,-0.83787674,0.16013904,1.2625965,0.15697569,positive,3
19800961,-0.48402677,-0.72854478,1.5460212,-0.33695563,positive,3
19801052,0.28981791,-0.26788922,1.3238488,0.95823576,positive,3
19801067,-0.78479104,0.39419685,1.5417804,0.26107603,positive,3
19801105,0.64570312,2.5355469,1.5497596,-2.6225636,positive,2
19801135,-0.92874342,0.4979654,1.3258428,-0.14620766,positive,3
19810093,-0.62800364,-0.0062550173,1.2500498,0.82850105,positive,3
19810096,2.0417338,-1.6877236,2.3695688,-2.0495926,positive,3
19810133,1.0825453,1.5386119,0.049213996,2.2060536,positive,4
19810142,0.82563308,-1.2231475,1.8242684,0.31376981,positive,3
19810179,0.50590953,-0.54878248,-2.0112267,1.254035,positive,4
19810227,0.66147556,0.42859322,0.4079122,1.6729811,positive,4
19810241,0.1071745,-0.15593929,1.7036058,0.69966583,positive,3
19810349,1.5266491,0.82156798,0.78499844,2.485065,positive,4
19810370,-0.61954974,-0.54575407,0.27515635,1.9922761,positive,4
19810394,0.24634278,1.2485848,-0.85842338,0.62618419,positive,2
19810450,1.2333083,1.8074857,-0.14382036,0.45818766,positive,2
19810473,2.9914707,0.65454109,-0.32018732,2.5315656,positive,1
19810475,-0.52033395,2.4120632,-0.17067001,0.11821968,positive,2
19810586,1.5672134,-0.30167774,-0.99122098,-0.83149604,positive,1
19810626,1.9509788,0.29139557,-1.038734,-1.6493124,positive,1
19810650,-0.2829768,1.9155297,-1.5074431,0.36323265,positive,2
19810733,0.27847316,1.9135191,-2.5519549,-0.72113992,positive,2
19810863,2.7570928,-0.96218554,0.016732801,-0.51334973,positive,1
19810877,-0.091542929,1.9457193,-0.81165259,0.091037669,positive,2
19811003,0.21824827,1.7518154,0.38067464,1.1989525,positive,2
19811036,-0.92629057,0.44229246,1.2984967,0.27116224,positive,3
19811049,-0.06356422,-0.1887722,1.4210971,1.1473271,positive,3
19811066,-0.088877683,-0.24504676,1.5243994,-0.64853678,positive,3
19811097,2.3012843,-2.1501337,1.3491137,2.4847381,positive,4
19811128,-1.1312858,-0.083328028,1.0647599,1.4781626,positive,4
19811153,1.4665346,-0.54776405,-0.098819796,-0.90677834,positive,1
19811187,1.9996489,-1.6381124,1.7284154,1.4763321,positive,1
19820005,0.043937889,0.37411008,1.272997,0.70192812,positive,3
19820026,-0.21235907,0.71545064,1.3277683,-0.80032578,positive,3
19820038,-0.51583199,-0.69500224,-1.1724832,1.9235307,positive,4
19820050,2.3757632,-1.3612968,1.7241415,0.78696937,positive,1
19820081,-0.09063304,1.9774381,-0.6992214,0.36112828,positive,2
19820099,-1.7332458,-1.0041241,-0.60536104,1.532669,positive,4
19820130,0.55559012,-0.23744768,2.2800106,1.466998,positive,3
19820143,0.81901422,-0.17524884,1.1724137,0.97622897,positive,3
19820207,-0.028388441,2.1124518,0.29130904,-0.28671681,positive,2
19820323,0.96938048,-0.074090597,0.24186932,2.3699821,positive,4
19820426,0.67640293,-3.0879756,0.23742699,3.3675394,positive,4
19820482,-0.042410841,0.63249131,0.52040988,1.3828586,positive,4
19820602,4.1332819,-0.30821411,1.7763316,0.64674345,positive,1
19820645,-1.0252145,2.156499,-0.71206531,-0.32209281,positive,2
19820677,0.7291899,-0.85303001,1.6230297,-0.70634558,positive,3
19820712,1.482729,1.6161287,-2.2535249,-1.0047788,positive,2
19820765,-0.023920322,1.459189,-1.8022633,1.0171916,positive,2
19820831,1.4474806,-1.3726863,-0.15758702,0.7966496,positive,1
19820868,1.2446312,1.0132678,-0.7662827,1.3826134,positive,4
19820917,1.5143043,0.30780561,0.63596176,-0.46233796,positive,1
19820983,1.7968083,-0.74640311,-0.56513382,0.95923871,positive,1
19820985,-0.34143523,1.6877434,1.5379177,1.3867689,positive,2
19821068,0.38784638,-0.61231679,1.4299269,0.44107481,positive,3
19821079,2.2880912,-0.71667329,0.7343923,-1.1595558,positive,1
19821089,-1.0624291,0.51531696,1.2646635,0.32148395,positive,3
19821108,0.055771447,3.2265652,1.5908142,0.83723657,positive,2
19821113,-0.49795063,1.8411095,1.4546898,1.1374278,positive,2
19821126,-0.73303041,2.3466641,0.14404859,0.17181097,positive,2
19830126,-0.4353083,0.23394343,0.69273276,1.5207866,positive,4
19830149,-1.029225,1.1288132,1.7067105,-0.22921517,positive,3
19830163,0.87913562,-0.01334194,0.7730094,1.7304623,positive,4
19830181,0.20283632,-1.0334169,1.5752988,1.2976444,positive,3
19830187,-0.13241256,1.2683063,-0.1636713,0.3498746,positive,2
19830202,1.0200279,-1.797203,1.9454024,-0.33386713,positive,3
19830218,0.64607187,0.43725654,1.240175,1.4265485,positive,4
19830281,0.069276475,1.1422965,-0.26698569,0.16275171,positive,2
19830386,-0.16142633,0.79974077,-0.010111269,1.7320173,positive,4
19830399,-0.1083134,-0.30720564,0.3042879,1.2293586,positive,4
19830416,-0.32891532,-0.35580963,0.36801193,1.5584295,positive,4
19830459,1.2251465,1.3207945,-1.2329789,1.8331112,positive,4
19830490,0.19800108,-0.72334844,-1.1692461,1.8903526,positive,4
19830505,1.0885065,-0.62552834,1.285605,0.14410219,positive,3
19830575,1.6183863,-2.5449684,-1.0140842,3.3683732,positive,4
19830581,0.62369596,0.37488711,1.5143726,-0.77993872,positive,3
19830635,0.47137446,1.1675331,0.083523032,0.027731952,positive,2
