version,eof,term,loading
before,1,Az,0.30422704
before,1,Ae,0.70944681
before,1,Kz,0.37821372
before,1,Ke,0.64381461
before,1,Cz,-0.17164523
before,1,Ca,0.91241456
before,1,Ck,-0.60217323
before,1,Ce,0.8546773
before,1,BAz,0.50648537
before,1,BAe,-0.23536811
before,1,BKz,-0.65263399
before,1,BKe,-0.061562606
before,1,BΦZ,0.63591645
before,1,BΦE,0.5001286
before,1,Gz,-0.27255784
before,1,Ge,0.5340696
before,1,∂Az/∂t (finite diff.),-0.072294893
before,1,∂Ae/∂t (finite diff.),-0.010432445
before,1,∂Kz/∂t (finite diff.),0.22914339
before,1,∂Ke/∂t (finite diff.),0.17472442
before,1,RGz,-0.48881807
before,1,RKz,0.74232413
before,1,RGe,0.75215578
before,1,RKe,-0.86587687
before,2,Az,0.14040322
before,2,Ae,0.12991428
before,2,Kz,0.44132681
before,2,Ke,-0.24715423
before,2,Cz,-0.37117306
before,2,Ca,-0.16879591
before,2,Ck,0.1798496
before,2,Ce,0.13183768
before,2,BAz,-0.45917528
before,2,BAe,0.64509485
before,2,BKz,-0.16359447
before,2,BKe,-0.10856888
before,2,BΦZ,0.60897929
before,2,BΦE,0.63715493
before,2,Gz,-0.050077933
before,2,Ge,-0.018661399
before,2,∂Az/∂t (finite diff.),0.28236477
before,2,∂Ae/∂t (finite diff.),-0.38889116
before,2,∂Kz/∂t (finite diff.),0.24843378
before,2,∂Ke/∂t (finite diff.),-0.43470401
before,2,RGz,0.34861168
before,2,RKz,0.18605367
before,2,RGe,-0.44367571
before,2,RKe,0.10857599
before,3,Az,0.16734405
before,3,Ae,-0.28467016
before,3,Kz,-0.061916782
before,3,Ke,-0.28792426
before,3,Cz,0.5047778
before,3,Ca,0.015878672
before,3,Ck,-0.28713174
before,3,Ce,-0.2283343
before,3,BAz,0.19108196
before,3,BAe,-0.32552559
before,3,BKz,-0.43949956
before,3,BKe,-0.43396353
before,3,BΦZ,-0.037765987
before,3,BΦE,-0.12840481
before,3,Gz,0.33483057
before,3,Ge,-0.038204339
before,3,∂Az/∂t (finite diff.),0.62962697
before,3,∂Ae/∂t (finite diff.),0.20335775
before,3,∂Kz/∂t (finite diff.),0.58207139
before,3,∂Ke/∂t (finite diff.),-0.16800444
before,3,RGz,0.44319905
before,3,RKz,0.50513945
before,3,RGe,0.085194158
before,3,RKe,0.12889128
before,4,Az,0.74783808
before,4,Ae,-0.050846894
before,4,Kz,0.58536063
before,4,Ke,-0.26299289
before,4,Cz,-0.04587233
before,4,Ca,0.10751456
before,4,Ck,-0.16077415
before,4,Ce,-0.18794582
before,4,BAz,0.35179801
before,4,BAe,-0.064631995
before,4,BKz,0.19164838
before,4,BKe,-0.2413256
before,4,BΦZ,-0.067657572
before,4,BΦE,-0.22661975
before,4,Gz,-0.51266589
before,4,Ge,-0.42664414
before,4,∂Az/∂t (finite diff.),-0.0069548139
before,4,∂Ae/∂t (finite diff.),-0.027410758
before,4,∂Kz/∂t (finite diff.),-0.015356184
before,4,∂Ke/∂t (finite diff.),-0.13508236
before,4,RGz,-0.40049776
before,4,RKz,-0.10789295
before,4,RGe,-0.17953597
before,4,RKe,0.09083916
before,5,Az,0.19390376
before,5,Ae,-0.18410416
before,5,Kz,0.19630812
before,5,Ke,-0.18478172
before,5,Cz,-0.076992976
before,5,Ca,-0.1224215
before,5,Ck,0.59860822
before,5,Ce,0.18509121
before,5,BAz,0.21827484
before,5,BAe,0.18827399
before,5,BKz,-0.064146592
before,5,BKe,0.59783147
before,5,BΦZ,-0.16739072
before,5,BΦE,-0.12036034
before,5,Gz,0.016846597
before,5,Ge,0.40387783
before,5,∂Az/∂t (finite diff.),0.19159787
before,5,∂Ae/∂t (finite diff.),0.34928492
before,5,∂Kz/∂t (finite diff.),0.42509539
before,5,∂Ke/∂t (finite diff.),-0.06938931
before,5,RGz,-0.23548545
before,5,RKz,0.011312088
before,5,RGe,0.1630935
before,5,RKe,0.014592172
before,6,Az,0.11747493
before,6,Ae,0.067116497
before,6,Kz,0.23788488
before,6,Ke,-0.099102047
before,6,Cz,0.65849788
before,6,Ca,-0.054826992
before,6,Ck,0.099229668
before,6,Ce,0.098298743
before,6,BAz,0.34970393
before,6,BAe,0.23493588
before,6,BKz,-0.050748413
before,6,BKe,-0.07610615
before,6,BΦZ,0.19626827
before,6,BΦE,0.14172592
before,6,Gz,0.5636676
before,6,Ge,0.13214322
before,6,∂Az/∂t (finite diff.),-0.33764127
before,6,∂Ae/∂t (finite diff.),-0.08088321
before,6,∂Kz/∂t (finite diff.),-0.27818762
before,6,∂Ke/∂t (finite diff.),-0.01012974
before,6,RGz,-0.11048226
before,6,RKz,-0.12917167
before,6,RGe,-0.09719885
before,6,RKe,0.10133138
before,7,Az,0.16594262
before,7,Ae,0.078940937
before,7,Kz,0.14853893
before,7,Ke,0.073996309
before,7,Cz,-0.059866672
before,7,Ca,-0.032969068
before,7,Ck,-0.195854
before,7,Ce,0.045670261
before,7,BAz,-0.17123896
before,7,BAe,0.33571667
before,7,BKz,0.18202225
before,7,BKe,-0.26439889
before,7,BΦZ,-0.0070491576
before,7,BΦE,-0.012798369
before,7,Gz,0.034867441
before,7,Ge,0.18991535
before,7,∂Az/∂t (finite diff.),0.031764693
before,7,∂Ae/∂t (finite diff.),0.52663902
before,7,∂Kz/∂t (finite diff.),0.0792092
before,7,∂Ke/∂t (finite diff.),0.62152558
before,7,RGz,0.15656777
before,7,RKz,-0.066366214
before,7,RGe,-0.083227874
before,7,RKe,0.10487366
before,8,Az,0.15822372
before,8,Ae,0.28449516
before,8,Kz,0.091728675
before,8,Ke,0.38676243
before,8,Cz,0.21994732
before,8,Ca,-0.036597896
before,8,Ck,0.025315746
before,8,Ce,-0.019957248
before,8,BAz,0.02685015
before,8,BAe,0.18897706
before,8,BKz,-0.11500788
before,8,BKe,0.34921053
before,8,BΦZ,-0.21320562
before,8,BΦE,-0.2957969
before,8,Gz,0.014848673
before,8,Ge,-0.21182052
before,8,∂Az/∂t (finite diff.),0.24132325
before,8,∂Ae/∂t (finite diff.),-0.34571502
before,8,∂Kz/∂t (finite diff.),0.050177517
before,8,∂Ke/∂t (finite diff.),0.24600474
before,8,RGz,0.22919865
before,8,RKz,0.071240765
before,8,RGe,-0.2535885
before,8,RKe,-0.18136727
after,1,Az,0.32104493
after,1,Ae,0.66359765
after,1,Kz,0.34656542
after,1,Ke,0.60474787
after,1,Cz,-0.1194051
after,1,Ca,0.90282162
after,1,Ck,-0.48813323
after,1,Ce,0.78629837
after,1,BAz,0.48661301
